data_venda,cliente,produto,quantidade,forma_pagamento,preco_unitario,valor_total,categoria
2024-05-25 05:00:00,Cliente 74,Açaí Bowl,2,Cartão Débito,22.0,44.0,Açaí
2024-04-28 21:00:00,Cliente 36,Açaí 300ml,2,Cartão Débito,10.0,20.0,Açaí
2024-04-11 09:00:00,Cliente 101,Açaí 500ml,2,Pix,15.0,30.0,Açaí
2024-02-20 15:00:00,Cliente 156,Açaí 300ml,1,Cartão Crédito,10.0,10.0,Açaí
2024-02-09 19:00:00,Cliente 170,Açaí 700ml,1,Pix,20.0,20.0,Açaí
2024-04-06 20:00:00,Cliente 171,Açaí 700ml,2,Cartão Débito,20.0,40.0,Açaí
2024-02-19 08:00:00,Cliente 170,Açaí 500ml,1,Pix,15.0,15.0,Açaí
2024-01-20 03:00:00,Cliente 104,Açaí Bowl,1,Dinheiro,22.0,22.0,Açaí
2024-05-21 01:00:00,Cliente 66,Milkshake,2,Cartão Crédito,12.0,24.0,Bebida
2024-01-01 21:00:00,Cliente 55,Milkshake,1,Cartão Débito,12.0,12.0,Bebida
2024-04-05 20:00:00,Cliente 200,Açaí 500ml,3,Cartão Débito,15.0,45.0,Açaí
2024-02-01 03:00:00,Cliente 176,Milkshake,1,Pix,12.0,12.0,Bebida
2024-05-01 00:00:00,Cliente 91,Sorvete Casquinha,1,Pix,5.0,5.0,Sorvete
2024-05-31 08:00:00,Cliente 22,Milkshake,2,Pix,12.0,24.0,Bebida
2024-01-20 18:00:00,Cliente 101,Milkshake,2,Pix,12.0,24.0,Bebida
2024-02-15 02:00:00,Cliente 155,Milkshake,3,Cartão Débito,12.0,36.0,Bebida
2024-04-16 14:00:00,Cliente 121,Sorvete Casquinha,1,Pix,5.0,5.0,Sorvete
2024-03-26 07:00:00,Cliente 93,Açaí Bowl,3,Cartão Débito,22.0,66.0,Açaí
2024-05-27 19:00:00,Cliente 195,Milkshake,3,Pix,12.0,36.0,Bebida
2024-04-24 11:00:00,Cliente 108,Banana Split,2,Cartão Crédito,18.0,36.0,Sobremesa
2024-02-10 15:00:00,Cliente 141,Sorvete Casquinha,1,Cartão Crédito,5.0,5.0,Sorvete
2024-03-16 06:00:00,Cliente 173,Açaí 500ml,2,Pix,15.0,30.0,Açaí
2024-01-08 21:00:00,Cliente 10,Açaí 300ml,3,Pix,10.0,30.0,Açaí
2024-05-05 05:00:00,Cliente 9,Açaí 500ml,3,Dinheiro,15.0,45.0,Açaí
2024-04-23 22:00:00,Cliente 182,Açaí 300ml,2,Cartão Crédito,10.0,20.0,Açaí
2024-05-05 05:00:00,Cliente 155,Açaí 500ml,2,Cartão Débito,15.0,30.0,Açaí
2024-01-24 10:00:00,Cliente 34,Banana Split,2,Cartão Crédito,18.0,36.0,Sobremesa
2024-03-20 03:00:00,Cliente 129,Açaí 300ml,2,Cartão Débito,10.0,20.0,Açaí
2024-05-31 14:00:00,Cliente 160,Açaí 300ml,2,Pix,10.0,20.0,Açaí
2024-02-22 19:00:00,Cliente 89,Açaí 700ml,3,Cartão Crédito,20.0,60.0,Açaí
2024-04-29 23:00:00,Cliente 93,Açaí 300ml,2,Cartão Crédito,10.0,20.0,Açaí
2024-03-04 16:00:00,Cliente 71,Açaí 300ml,1,Dinheiro,10.0,10.0,Açaí
2024-05-13 10:00:00,Cliente 67,Açaí 700ml,3,Dinheiro,20.0,60.0,Açaí
2024-05-28 04:00:00,Cliente 148,Milkshake,3,Cartão Crédito,12.0,36.0,Bebida
2024-01-27 22:00:00,Cliente 117,Milkshake,1,Cartão Crédito,12.0,12.0,Bebida
2024-03-27 04:00:00,Cliente 94,Açaí 700ml,1,Cartão Crédito,20.0,20.0,Açaí
2024-04-30 08:00:00,Cliente 163,Sorvete Casquinha,3,Cartão Débito,5.0,15.0,Sorvete
2024-04-02 06:00:00,Cliente 99,Açaí 300ml,2,Pix,10.0,20.0,Açaí
2024-02-24 01:00:00,Cliente 113,Açaí 300ml,3,Dinheiro,10.0,30.0,Açaí
2024-04-11 11:00:00,Cliente 103,Açaí 700ml,3,Pix,20.0,60.0,Açaí
2024-01-26 00:00:00,Cliente 91,Açaí 700ml,1,Dinheiro,20.0,20.0,Açaí
2024-04-08 11:00:00,Cliente 90,Sorvete Casquinha,3,Dinheiro,5.0,15.0,Sorvete
2024-03-26 21:00:00,Cliente 17,Banana Split,2,Dinheiro,18.0,36.0,Sobremesa
2024-01-11 01:00:00,Cliente 18,Milkshake,1,Cartão Crédito,12.0,12.0,Bebida
2024-03-26 01:00:00,Cliente 173,Açaí 500ml,3,Dinheiro,15.0,45.0,Açaí
2024-04-27 16:00:00,Cliente 116,Banana Split,3,Pix,18.0,54.0,Sobremesa
2024-05-22 09:00:00,Cliente 93,Açaí Bowl,2,Dinheiro,22.0,44.0,Açaí
2024-04-18 20:00:00,Cliente 181,Milkshake,3,Pix,12.0,36.0,Bebida
2024-05-02 17:00:00,Cliente 91,Açaí 300ml,3,Dinheiro,10.0,30.0,Açaí
2024-02-26 19:00:00,Cliente 82,Açaí Bowl,3,Dinheiro,22.0,66.0,Açaí
2024-03-30 03:00:00,Cliente 68,Banana Split,3,Cartão Crédito,18.0,54.0,Sobremesa
2024-02-27 22:00:00,Cliente 193,Açaí 700ml,2,Pix,20.0,40.0,Açaí
2024-05-05 03:00:00,Cliente 114,Sorvete Casquinha,3,Dinheiro,5.0,15.0,Sorvete
2024-03-02 14:00:00,Cliente 1,Milkshake,3,Dinheiro,12.0,36.0,Bebida
2024-05-25 19:00:00,Cliente 58,Sorvete Casquinha,3,Pix,5.0,15.0,Sorvete
2024-04-16 12:00:00,Cliente 154,Açaí Bowl,1,Dinheiro,22.0,22.0,Açaí
2024-02-02 07:00:00,Cliente 109,Milkshake,2,Cartão Débito,12.0,24.0,Bebida
2024-01-02 10:00:00,Cliente 148,Banana Split,1,Cartão Crédito,18.0,18.0,Sobremesa
2024-04-03 21:00:00,Cliente 116,Açaí 300ml,1,Pix,10.0,10.0,Açaí
2024-05-11 08:00:00,Cliente 87,Açaí 500ml,2,Cartão Crédito,15.0,30.0,Açaí
2024-03-22 11:00:00,Cliente 10,Sorvete Casquinha,1,Cartão Débito,5.0,5.0,Sorvete
2024-03-07 01:00:00,Cliente 59,Sorvete Casquinha,1,Cartão Débito,5.0,5.0,Sorvete
2024-05-24 03:00:00,Cliente 41,Açaí 500ml,1,Cartão Débito,15.0,15.0,Açaí
2024-05-08 01:00:00,Cliente 105,Sorvete Casquinha,2,Pix,5.0,10.0,Sorvete
2024-02-12 13:00:00,Cliente 133,Sorvete Casquinha,3,Cartão Débito,5.0,15.0,Sorvete
2024-05-24 05:00:00,Cliente 122,Milkshake,2,Pix,12.0,24.0,Bebida
2024-04-18 21:00:00,Cliente 193,Milkshake,2,Pix,12.0,24.0,Bebida
2024-02-17 01:00:00,Cliente 145,Açaí 500ml,2,Dinheiro,15.0,30.0,Açaí
2024-03-03 12:00:00,Cliente 22,Açaí Bowl,1,Pix,22.0,22.0,Açaí
2024-01-30 06:00:00,Cliente 98,Açaí 300ml,3,Cartão Débito,10.0,30.0,Açaí
2024-04-12 01:00:00,Cliente 169,Banana Split,2,Pix,18.0,36.0,Sobremesa
2024-04-25 17:00:00,Cliente 68,Banana Split,2,Pix,18.0,36.0,Sobremesa
2024-03-06 19:00:00,Cliente 197,Açaí Bowl,3,Cartão Crédito,22.0,66.0,Açaí
2024-01-07 17:00:00,Cliente 139,Sorvete Casquinha,3,Cartão Débito,5.0,15.0,Sorvete
2024-01-09 09:00:00,Cliente 56,Açaí 300ml,3,Pix,10.0,30.0,Açaí
2024-03-23 13:00:00,Cliente 179,Açaí 500ml,1,Dinheiro,15.0,15.0,Açaí
2024-02-11 11:00:00,Cliente 149,Açaí Bowl,3,Pix,22.0,66.0,Açaí
2024-04-06 13:00:00,Cliente 99,Açaí 500ml,1,Pix,15.0,15.0,Açaí
2024-02-03 23:00:00,Cliente 76,Milkshake,2,Cartão Crédito,12.0,24.0,Bebida
2024-05-19 06:00:00,Cliente 26,Sorvete Casquinha,1,Cartão Débito,5.0,5.0,Sorvete
2024-01-19 23:00:00,Cliente 115,Açaí 700ml,3,Cartão Débito,20.0,60.0,Açaí
2024-05-27 05:00:00,Cliente 147,Açaí 500ml,1,Dinheiro,15.0,15.0,Açaí
2024-02-23 03:00:00,Cliente 109,Açaí Bowl,3,Dinheiro,22.0,66.0,Açaí
2024-02-12 08:00:00,Cliente 188,Sorvete Casquinha,1,Dinheiro,5.0,5.0,Sorvete
2024-04-07 15:00:00,Cliente 199,Açaí 300ml,2,Pix,10.0,20.0,Açaí
2024-04-25 07:00:00,Cliente 47,Açaí Bowl,1,Pix,22.0,22.0,Açaí
2024-01-15 01:00:00,Cliente 71,Milkshake,2,Dinheiro,12.0,24.0,Bebida
2024-02-06 14:00:00,Cliente 154,Banana Split,3,Cartão Débito,18.0,54.0,Sobremesa
2024-02-14 20:00:00,Cliente 40,Açaí 300ml,2,Cartão Débito,10.0,20.0,Açaí
2024-02-02 23:00:00,Cliente 133,Açaí 500ml,3,Dinheiro,15.0,45.0,Açaí
2024-04-04 08:00:00,Cliente 149,Açaí 500ml,3,Cartão Crédito,15.0,45.0,Açaí
2024-02-01 19:00:00,Cliente 132,Açaí 300ml,2,Cartão Débito,10.0,20.0,Açaí
2024-04-03 03:00:00,Cliente 23,Açaí 500ml,2,Cartão Débito,15.0,30.0,Açaí
2024-01-16 19:00:00,Cliente 106,Açaí Bowl,1,Dinheiro,22.0,22.0,Açaí
2024-01-21 12:00:00,Cliente 84,Sorvete Casquinha,1,Cartão Débito,5.0,5.0,Sorvete
2024-05-09 16:00:00,Cliente 143,Açaí 500ml,2,Pix,15.0,30.0,Açaí
2024-02-19 04:00:00,Cliente 116,Milkshake,2,Pix,12.0,24.0,Bebida
2024-03-26 22:00:00,Cliente 109,Sorvete Casquinha,2,Cartão Débito,5.0,10.0,Sorvete
2024-01-03 16:00:00,Cliente 136,Açaí Bowl,2,Pix,22.0,44.0,Açaí
2024-04-17 00:00:00,Cliente 41,Açaí 700ml,3,Cartão Crédito,20.0,60.0,Açaí
2024-02-26 23:00:00,Cliente 112,Açaí 500ml,2,Cartão Débito,15.0,30.0,Açaí
2024-02-18 00:00:00,Cliente 147,Açaí 500ml,2,Dinheiro,15.0,30.0,Açaí
2024-03-25 11:00:00,Cliente 112,Milkshake,2,Pix,12.0,24.0,Bebida
2024-04-22 07:00:00,Cliente 103,Açaí Bowl,2,Cartão Crédito,22.0,44.0,Açaí
2024-03-03 07:00:00,Cliente 46,Milkshake,3,Cartão Crédito,12.0,36.0,Bebida
2024-05-10 14:00:00,Cliente 156,Banana Split,1,Pix,18.0,18.0,Sobremesa
2024-02-18 10:00:00,Cliente 68,Açaí Bowl,1,Cartão Crédito,22.0,22.0,Açaí
2024-03-04 10:00:00,Cliente 122,Açaí 300ml,1,Cartão Débito,10.0,10.0,Açaí
2024-04-20 00:00:00,Cliente 15,Açaí 300ml,1,Cartão Crédito,10.0,10.0,Açaí
2024-01-17 07:00:00,Cliente 165,Açaí 300ml,1,Pix,10.0,10.0,Açaí
2024-03-11 18:00:00,Cliente 129,Milkshake,3,Cartão Crédito,12.0,36.0,Bebida
2024-01-18 10:00:00,Cliente 195,Açaí 300ml,1,Pix,10.0,10.0,Açaí
2024-04-07 08:00:00,Cliente 111,Açaí Bowl,3,Pix,22.0,66.0,Açaí
2024-01-16 18:00:00,Cliente 24,Açaí 300ml,3,Cartão Crédito,10.0,30.0,Açaí
2024-03-15 20:00:00,Cliente 27,Açaí 700ml,1,Pix,20.0,20.0,Açaí
2024-05-28 09:00:00,Cliente 40,Açaí 300ml,1,Pix,10.0,10.0,Açaí
2024-04-04 22:00:00,Cliente 191,Açaí 500ml,1,Dinheiro,15.0,15.0,Açaí
2024-05-07 17:00:00,Cliente 189,Banana Split,2,Cartão Débito,18.0,36.0,Sobremesa
2024-03-28 00:00:00,Cliente 164,Milkshake,3,Pix,12.0,36.0,Bebida
2024-05-09 03:00:00,Cliente 24,Sorvete Casquinha,1,Cartão Débito,5.0,5.0,Sorvete
2024-03-31 22:00:00,Cliente 24,Banana Split,2,Dinheiro,18.0,36.0,Sobremesa
2024-01-09 08:00:00,Cliente 4,Açaí 700ml,3,Dinheiro,20.0,60.0,Açaí
2024-03-18 15:00:00,Cliente 67,Milkshake,2,Dinheiro,12.0,24.0,Bebida
2024-02-02 11:00:00,Cliente 34,Açaí Bowl,2,Dinheiro,22.0,44.0,Açaí
2024-05-04 01:00:00,Cliente 185,Milkshake,1,Cartão Débito,12.0,12.0,Bebida
2024-05-09 08:00:00,Cliente 177,Açaí 500ml,3,Cartão Crédito,15.0,45.0,Açaí
2024-05-09 23:00:00,Cliente 181,Açaí Bowl,2,Cartão Crédito,22.0,44.0,Açaí
2024-01-21 22:00:00,Cliente 116,Banana Split,3,Cartão Débito,18.0,54.0,Sobremesa
2024-04-12 06:00:00,Cliente 23,Banana Split,1,Pix,18.0,18.0,Sobremesa
2024-05-31 21:00:00,Cliente 109,Açaí 300ml,3,Cartão Débito,10.0,30.0,Açaí
2024-03-13 23:00:00,Cliente 69,Açaí Bowl,2,Pix,22.0,44.0,Açaí
2024-02-03 12:00:00,Cliente 95,Açaí 500ml,2,Pix,15.0,30.0,Açaí
2024-03-30 10:00:00,Cliente 181,Açaí 300ml,3,Cartão Crédito,10.0,30.0,Açaí
2024-04-23 19:00:00,Cliente 62,Açaí 300ml,2,Dinheiro,10.0,20.0,Açaí
2024-03-19 23:00:00,Cliente 169,Milkshake,2,Cartão Crédito,12.0,24.0,Bebida
2024-04-25 13:00:00,Cliente 57,Banana Split,2,Cartão Crédito,18.0,36.0,Sobremesa
2024-03-06 10:00:00,Cliente 188,Açaí 300ml,1,Cartão Débito,10.0,10.0,Açaí
2024-02-10 00:00:00,Cliente 54,Açaí 700ml,1,Cartão Débito,20.0,20.0,Açaí
2024-04-20 20:00:00,Cliente 70,Açaí 700ml,2,Pix,20.0,40.0,Açaí
2024-03-02 21:00:00,Cliente 101,Banana Split,3,Cartão Débito,18.0,54.0,Sobremesa
2024-04-22 02:00:00,Cliente 57,Açaí 700ml,1,Pix,20.0,20.0,Açaí
2024-02-12 20:00:00,Cliente 138,Milkshake,3,Pix,12.0,36.0,Bebida
2024-05-17 01:00:00,Cliente 168,Açaí 500ml,2,Dinheiro,15.0,30.0,Açaí
2024-01-21 22:00:00,Cliente 135,Sorvete Casquinha,2,Dinheiro,5.0,10.0,Sorvete
2024-04-27 06:00:00,Cliente 103,Açaí 300ml,3,Cartão Crédito,10.0,30.0,Açaí
2024-01-17 13:00:00,Cliente 166,Sorvete Casquinha,1,Dinheiro,5.0,5.0,Sorvete
2024-02-06 06:00:00,Cliente 85,Açaí 500ml,3,Pix,15.0,45.0,Açaí
2024-04-28 10:00:00,Cliente 61,Açaí 500ml,3,Cartão Débito,15.0,45.0,Açaí
2024-01-17 08:00:00,Cliente 3,Milkshake,2,Dinheiro,12.0,24.0,Bebida
2024-01-09 14:00:00,Cliente 128,Açaí 700ml,1,Dinheiro,20.0,20.0,Açaí
2024-02-13 06:00:00,Cliente 179,Açaí 700ml,3,Dinheiro,20.0,60.0,Açaí
2024-03-19 09:00:00,Cliente 86,Açaí 500ml,1,Dinheiro,15.0,15.0,Açaí
2024-05-31 01:00:00,Cliente 47,Milkshake,2,Pix,12.0,24.0,Bebida
2024-05-02 11:00:00,Cliente 196,Milkshake,1,Pix,12.0,12.0,Bebida
2024-03-02 20:00:00,Cliente 76,Banana Split,2,Cartão Crédito,18.0,36.0,Sobremesa
2024-05-31 22:00:00,Cliente 38,Açaí Bowl,1,Cartão Débito,22.0,22.0,Açaí
2024-02-05 23:00:00,Cliente 164,Açaí 300ml,3,Cartão Crédito,10.0,30.0,Açaí
2024-04-26 06:00:00,Cliente 169,Açaí Bowl,2,Cartão Crédito,22.0,44.0,Açaí
2024-05-18 00:00:00,Cliente 197,Açaí 700ml,3,Dinheiro,20.0,60.0,Açaí
2024-01-24 11:00:00,Cliente 141,Açaí 500ml,2,Cartão Débito,15.0,30.0,Açaí
2024-02-12 12:00:00,Cliente 87,Banana Split,1,Dinheiro,18.0,18.0,Sobremesa
2024-01-04 23:00:00,Cliente 58,Sorvete Casquinha,1,Pix,5.0,5.0,Sorvete
2024-03-21 03:00:00,Cliente 50,Açaí 700ml,2,Cartão Crédito,20.0,40.0,Açaí
2024-03-14 05:00:00,Cliente 30,Açaí 300ml,2,Cartão Débito,10.0,20.0,Açaí
2024-04-15 12:00:00,Cliente 190,Milkshake,2,Pix,12.0,24.0,Bebida
2024-05-24 22:00:00,Cliente 101,Açaí 500ml,1,Cartão Crédito,15.0,15.0,Açaí
2024-04-04 22:00:00,Cliente 25,Açaí 700ml,2,Cartão Débito,20.0,40.0,Açaí
2024-04-26 12:00:00,Cliente 112,Sorvete Casquinha,2,Cartão Crédito,5.0,10.0,Sorvete
2024-03-10 22:00:00,Cliente 155,Açaí 300ml,3,Cartão Débito,10.0,30.0,Açaí
2024-05-15 02:00:00,Cliente 179,Açaí 300ml,2,Cartão Crédito,10.0,20.0,Açaí
2024-01-23 12:00:00,Cliente 185,Banana Split,3,Dinheiro,18.0,54.0,Sobremesa
2024-02-14 03:00:00,Cliente 126,Açaí 700ml,3,Cartão Crédito,20.0,60.0,Açaí
2024-04-17 04:00:00,Cliente 123,Sorvete Casquinha,3,Cartão Crédito,5.0,15.0,Sorvete
2024-02-19 07:00:00,Cliente 47,Açaí 300ml,1,Cartão Débito,10.0,10.0,Açaí
2024-03-12 18:00:00,Cliente 118,Açaí 500ml,3,Cartão Débito,15.0,45.0,Açaí
2024-05-18 02:00:00,Cliente 39,Açaí 300ml,2,Dinheiro,10.0,20.0,Açaí
2024-05-11 13:00:00,Cliente 16,Sorvete Casquinha,1,Cartão Débito,5.0,5.0,Sorvete
2024-03-16 19:00:00,Cliente 22,Milkshake,1,Cartão Crédito,12.0,12.0,Bebida
2024-04-19 09:00:00,Cliente 54,Milkshake,1,Cartão Débito,12.0,12.0,Bebida
2024-04-23 17:00:00,Cliente 149,Banana Split,1,Cartão Débito,18.0,18.0,Sobremesa
2024-04-18 12:00:00,Cliente 200,Açaí 700ml,1,Cartão Débito,20.0,20.0,Açaí
2024-03-07 13:00:00,Cliente 16,Sorvete Casquinha,1,Dinheiro,5.0,5.0,Sorvete
2024-05-07 12:00:00,Cliente 59,Banana Split,1,Dinheiro,18.0,18.0,Sobremesa
2024-04-22 05:00:00,Cliente 31,Açaí Bowl,3,Pix,22.0,66.0,Açaí
2024-02-03 03:00:00,Cliente 170,Açaí 300ml,2,Dinheiro,10.0,20.0,Açaí
2024-02-13 19:00:00,Cliente 32,Açaí Bowl,2,Dinheiro,22.0,44.0,Açaí
2024-03-09 11:00:00,Cliente 187,Açaí 300ml,3,Dinheiro,10.0,30.0,Açaí
2024-05-31 03:00:00,Cliente 162,Milkshake,3,Cartão Crédito,12.0,36.0,Bebida
2024-02-26 19:00:00,Cliente 9,Banana Split,1,Pix,18.0,18.0,Sobremesa
2024-03-23 13:00:00,Cliente 139,Milkshake,1,Cartão Crédito,12.0,12.0,Bebida
2024-02-26 10:00:00,Cliente 10,Açaí 500ml,3,Dinheiro,15.0,45.0,Açaí
2024-03-10 07:00:00,Cliente 17,Açaí Bowl,1,Dinheiro,22.0,22.0,Açaí
2024-03-04 17:00:00,Cliente 68,Açaí Bowl,2,Pix,22.0,44.0,Açaí
2024-03-25 22:00:00,Cliente 48,Milkshake,2,Pix,12.0,24.0,Bebida
2024-05-22 11:00:00,Cliente 180,Açaí 500ml,1,Cartão Débito,15.0,15.0,Açaí
2024-03-03 08:00:00,Cliente 111,Açaí 300ml,1,Dinheiro,10.0,10.0,Açaí
2024-05-17 14:00:00,Cliente 153,Banana Split,1,Dinheiro,18.0,18.0,Sobremesa
2024-04-03 05:00:00,Cliente 123,Açaí 500ml,2,Cartão Crédito,15.0,30.0,Açaí
2024-05-17 08:00:00,Cliente 149,Banana Split,1,Cartão Débito,18.0,18.0,Sobremesa
2024-02-28 16:00:00,Cliente 101,Açaí Bowl,3,Dinheiro,22.0,66.0,Açaí
2024-02-28 08:00:00,Cliente 102,Banana Split,1,Cartão Crédito,18.0,18.0,Sobremesa
2024-02-24 10:00:00,Cliente 65,Açaí Bowl,3,Pix,22.0,66.0,Açaí
2024-04-21 16:00:00,Cliente 191,Açaí 500ml,1,Cartão Crédito,15.0,15.0,Açaí
2024-04-21 11:00:00,Cliente 51,Açaí Bowl,1,Dinheiro,22.0,22.0,Açaí
2024-02-10 12:00:00,Cliente 36,Açaí 700ml,2,Cartão Crédito,20.0,40.0,Açaí
2024-03-14 16:00:00,Cliente 81,Açaí Bowl,3,Cartão Crédito,22.0,66.0,Açaí
2024-02-23 10:00:00,Cliente 127,Milkshake,3,Cartão Débito,12.0,36.0,Bebida
2024-05-22 22:00:00,Cliente 88,Açaí 500ml,3,Cartão Débito,15.0,45.0,Açaí
2024-01-30 13:00:00,Cliente 194,Açaí 300ml,2,Pix,10.0,20.0,Açaí
2024-03-02 15:00:00,Cliente 104,Banana Split,3,Cartão Débito,18.0,54.0,Sobremesa
2024-02-29 18:00:00,Cliente 15,Sorvete Casquinha,2,Cartão Crédito,5.0,10.0,Sorvete
2024-01-28 00:00:00,Cliente 96,Açaí 500ml,1,Cartão Débito,15.0,15.0,Açaí
2024-01-14 05:00:00,Cliente 167,Milkshake,1,Dinheiro,12.0,12.0,Bebida
2024-05-17 08:00:00,Cliente 123,Açaí Bowl,3,Cartão Crédito,22.0,66.0,Açaí
2024-02-22 09:00:00,Cliente 198,Banana Split,1,Cartão Crédito,18.0,18.0,Sobremesa
2024-01-29 11:00:00,Cliente 1,Açaí 700ml,1,Cartão Crédito,20.0,20.0,Açaí
2024-01-28 15:00:00,Cliente 151,Açaí 300ml,3,Dinheiro,10.0,30.0,Açaí
2024-03-24 06:00:00,Cliente 122,Açaí 700ml,1,Cartão Crédito,20.0,20.0,Açaí
2024-05-23 13:00:00,Cliente 167,Sorvete Casquinha,3,Cartão Débito,5.0,15.0,Sorvete
2024-03-08 23:00:00,Cliente 126,Açaí 500ml,3,Dinheiro,15.0,45.0,Açaí
2024-03-03 07:00:00,Cliente 57,Banana Split,1,Cartão Crédito,18.0,18.0,Sobremesa
2024-05-17 16:00:00,Cliente 81,Açaí 500ml,1,Cartão Débito,15.0,15.0,Açaí
2024-02-17 08:00:00,Cliente 162,Milkshake,1,Cartão Débito,12.0,12.0,Bebida
2024-03-18 05:00:00,Cliente 169,Açaí 500ml,1,Pix,15.0,15.0,Açaí
2024-03-04 08:00:00,Cliente 73,Açaí 300ml,1,Cartão Débito,10.0,10.0,Açaí
2024-04-13 17:00:00,Cliente 141,Sorvete Casquinha,2,Cartão Débito,5.0,10.0,Sorvete
2024-01-24 11:00:00,Cliente 70,Açaí 700ml,1,Pix,20.0,20.0,Açaí
2024-02-23 19:00:00,Cliente 6,Sorvete Casquinha,2,Pix,5.0,10.0,Sorvete
2024-05-29 05:00:00,Cliente 84,Banana Split,3,Dinheiro,18.0,54.0,Sobremesa
2024-05-24 01:00:00,Cliente 52,Açaí 500ml,1,Cartão Débito,15.0,15.0,Açaí
2024-05-24 02:00:00,Cliente 3,Banana Split,1,Dinheiro,18.0,18.0,Sobremesa
2024-05-12 16:00:00,Cliente 81,Açaí 700ml,1,Dinheiro,20.0,20.0,Açaí
2024-03-09 04:00:00,Cliente 63,Banana Split,3,Cartão Crédito,18.0,54.0,Sobremesa
2024-05-04 23:00:00,Cliente 49,Milkshake,2,Dinheiro,12.0,24.0,Bebida
2024-05-11 08:00:00,Cliente 76,Sorvete Casquinha,2,Dinheiro,5.0,10.0,Sorvete
2024-01-30 02:00:00,Cliente 112,Açaí 700ml,1,Dinheiro,20.0,20.0,Açaí
2024-03-31 00:00:00,Cliente 175,Açaí 700ml,1,Dinheiro,20.0,20.0,Açaí
2024-01-01 01:00:00,Cliente 109,Açaí Bowl,1,Pix,22.0,22.0,Açaí
2024-01-27 17:00:00,Cliente 183,Açaí 700ml,1,Cartão Débito,20.0,20.0,Açaí
2024-04-04 11:00:00,Cliente 192,Açaí Bowl,3,Cartão Crédito,22.0,66.0,Açaí
2024-03-07 05:00:00,Cliente 65,Açaí 300ml,1,Pix,10.0,10.0,Açaí
2024-02-05 14:00:00,Cliente 81,Açaí Bowl,3,Cartão Crédito,22.0,66.0,Açaí
2024-03-14 07:00:00,Cliente 195,Sorvete Casquinha,1,Cartão Crédito,5.0,5.0,Sorvete
2024-05-17 08:00:00,Cliente 15,Banana Split,2,Pix,18.0,36.0,Sobremesa
2024-04-11 08:00:00,Cliente 100,Açaí Bowl,2,Dinheiro,22.0,44.0,Açaí
2024-05-24 18:00:00,Cliente 32,Açaí 700ml,1,Pix,20.0,20.0,Açaí
2024-03-10 05:00:00,Cliente 96,Sorvete Casquinha,1,Cartão Crédito,5.0,5.0,Sorvete
2024-02-18 01:00:00,Cliente 128,Açaí Bowl,3,Cartão Crédito,22.0,66.0,Açaí
2024-02-14 20:00:00,Cliente 196,Açaí Bowl,1,Dinheiro,22.0,22.0,Açaí
2024-03-12 03:00:00,Cliente 146,Açaí 700ml,1,Pix,20.0,20.0,Açaí
2024-04-25 17:00:00,Cliente 113,Milkshake,1,Cartão Débito,12.0,12.0,Bebida
